"","region_name","TB_compartment","DR_compartment","HIV_compartment","G_compartment","compartment_id","dcompartment_id","total_pop"
"192","Western Cape",5,2,4,2,"N_ 5 _ 2 _ 4 _ 2","dN_ 5 _ 2 _ 4 _ 2",0
"193","Western Cape",6,1,1,1,"N_ 6 _ 1 _ 1 _ 1","dN_ 6 _ 1 _ 1 _ 1",121.178722217549
"194","Western Cape",6,1,1,2,"N_ 6 _ 1 _ 1 _ 2","dN_ 6 _ 1 _ 1 _ 2",347.718906199427
"195","Western Cape",6,1,2,1,"N_ 6 _ 1 _ 2 _ 1","dN_ 6 _ 1 _ 2 _ 1",0
"196","Western Cape",6,1,2,2,"N_ 6 _ 1 _ 2 _ 2","dN_ 6 _ 1 _ 2 _ 2",0
"197","Western Cape",6,1,3,1,"N_ 6 _ 1 _ 3 _ 1","dN_ 6 _ 1 _ 3 _ 1",0
"198","Western Cape",6,1,3,2,"N_ 6 _ 1 _ 3 _ 2","dN_ 6 _ 1 _ 3 _ 2",0
"199","Western Cape",6,1,4,1,"N_ 6 _ 1 _ 4 _ 1","dN_ 6 _ 1 _ 4 _ 1",0
"200","Western Cape",6,1,4,2,"N_ 6 _ 1 _ 4 _ 2","dN_ 6 _ 1 _ 4 _ 2",0
"201","Western Cape",6,2,1,1,"N_ 6 _ 2 _ 1 _ 1","dN_ 6 _ 2 _ 1 _ 1",0.520920587401273
"202","Western Cape",6,2,1,2,"N_ 6 _ 2 _ 1 _ 2","dN_ 6 _ 2 _ 1 _ 2",1.43736745654279
"203","Western Cape",6,2,2,1,"N_ 6 _ 2 _ 2 _ 1","dN_ 6 _ 2 _ 2 _ 1",0
"204","Western Cape",6,2,2,2,"N_ 6 _ 2 _ 2 _ 2","dN_ 6 _ 2 _ 2 _ 2",0
"205","Western Cape",6,2,3,1,"N_ 6 _ 2 _ 3 _ 1","dN_ 6 _ 2 _ 3 _ 1",0
"206","Western Cape",6,2,3,2,"N_ 6 _ 2 _ 3 _ 2","dN_ 6 _ 2 _ 3 _ 2",0
"207","Western Cape",6,2,4,1,"N_ 6 _ 2 _ 4 _ 1","dN_ 6 _ 2 _ 4 _ 1",0
"208","Western Cape",6,2,4,2,"N_ 6 _ 2 _ 4 _ 2","dN_ 6 _ 2 _ 4 _ 2",0
"209","Western Cape",7,1,1,1,"N_ 7 _ 1 _ 1 _ 1","dN_ 7 _ 1 _ 1 _ 1",0
"210","Western Cape",7,1,1,2,"N_ 7 _ 1 _ 1 _ 2","dN_ 7 _ 1 _ 1 _ 2",0
"211","Western Cape",7,1,2,1,"N_ 7 _ 1 _ 2 _ 1","dN_ 7 _ 1 _ 2 _ 1",0
