measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,North-West,Male,20-24 years,All causes,Rate,1992,238.9358557429687,275.06625601485524,206.7476767534653
Deaths,North-West,Female,20-24 years,All causes,Rate,1992,260.1098463301035,319.9672047501831,214.74961363301486
Deaths,North-West,Male,25-29 years,All causes,Number,1992,738.0111300381541,832.6569023791726,653.9010203819624
Deaths,North-West,Female,25-29 years,All causes,Number,1992,630.1391734376563,782.536182255229,509.01550659000986
Deaths,North-West,Male,25-29 years,All causes,Rate,1992,535.2480905490502,603.8906446545036,474.2466045863385
Deaths,North-West,Female,25-29 years,All causes,Rate,1992,438.1736361232575,544.1444348019256,353.9490715184576
Deaths,North-West,Male,30-34 years,All causes,Number,1992,981.7731992947491,1119.424806129137,863.7240792441435
Deaths,North-West,Female,30-34 years,All causes,Number,1992,657.3761519718358,796.872742920894,542.2716994248865
Deaths,North-West,Male,30-34 years,All causes,Rate,1992,798.0006396081386,909.8860224805138,702.0484651413354
Deaths,North-West,Female,30-34 years,All causes,Rate,1992,555.3978913332741,673.2544826149824,458.1495046434178
Deaths,North-West,Male,35-39 years,All causes,Number,1992,891.0989153248375,1050.6881456122078,763.6338538535122
Deaths,North-West,Female,35-39 years,All causes,Number,1992,520.6426749155336,634.1606810020116,433.12957616331533
Deaths,North-West,Male,35-39 years,All causes,Rate,1992,880.6688523571622,1038.3901354478382,754.6957336931528
